Laptop_Name,Model_Name,Laptop_Gen,Ram,Rom,Color,Weight_In_Kg,Core,Price,Rating,Display_Size,OS
LAPCARE,65W AC Adapter Laptop ,13th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,599,4.3,19.58,Windows 11
LAPCARE,Compatible Laptop Battery for ,13th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,1499,3.4,19.58,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,299,3.9,24.28,Windows 11
LENOVO,Yoga AMD Pro 7 ,13th Gen,32 GB,512 GB,Grey,1.58,Intel Core i5,121933,3.6,14.5,Windows 11
LENOVO,120 Wired Plug ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,299,4.4,16.71,Windows 11
ACER,Clearview Transparent Wireless Mouse ,13th Gen,16 GB,512 GB,Grey,1.67,Intel Core i3,599,4.6,19.5,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Black,1.66,Intel Core i5,549,3.6,24.28,Windows 11
ASUS,WT200 ,13th Gen,16 GB,512 GB,Blue,1.61,AMD Ryzen 7,565,4,15.28,Windows 11
LAPCARE,CQ42 6-Cell Battery for ,13th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,1499,3.7,19.58,Windows 11
LAPCARE,Laptop Battery Compatible for ,13th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,1499,3.3,19.58,Windows 11
LAPCARE,MU06 for HP 430 ,13th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,1499,3.6,19.58,Windows 11
ASUS,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.88,Intel Core i5,55990,4.1,15.28,Windows 11
LENOVO,130 Wireless Compact ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,569,4.3,16.71,Windows 11
LENOVO,Yoga Slim ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,89990,3.5,14,Windows 11
LENOVO,IdeaPad Slim 3 Ryzen ,13th Gen,16 GB,512 GB,Grey,1.58,AMD Radeon,42990,4.3,15.6,Windows 11
LENOVO,IdeaPad Pro 5 AMD ,13th Gen,16 GB,512 GB,Grey,1.58,AMD Ryzen 7,82990,3.5,16,Windows 11
LENOVO,V14 Intel Core i5 ,12th Gen,8 GB,512 GB,Grey,1.43,Intel Core i5,40490,1.8,14,Windows 11
MSI,Stealth 16 AI ,1st Gen,32 GB,512 GB,Blue,1.62,Intel Core i5,204279,3.925,41,Windows 11
APPLE,2024 MacBook Air ,13th Gen,16 GB,512 GB,Silver,1.62,Intel Core i5,147990,4.6,38.91,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Black,1.66,Intel Core i5,309990,3.6,40.6,Windows 11
LENOVO,Thinkpad P16V Gen 2 ,13th Gen,32 GB,512 GB,Black,1.58,Intel Core i5,299999,3.81269841269841,16,Windows 11
HP,Vivobook ,13th Gen,6 GB,512 GB,Silver,2.3,Intel Core i5,77990,3.7,15.6,Windows 11
ASUS,Vivobook Go 14 ,13th Gen,8 GB,512 GB,Silver,1.38,AMD Ryzen 5,34790,4.1,14,Windows 11
MSI,Modern ,12th Gen,16 GB,512 GB,Silver,1.62,Intel Core i5,39990,5,36,Windows 11
HP,Vivobook ,13th Gen,24 GB,512 GB,Silver,1.66,Intel Core i5,71900,4.5,14,Windows 11
MICROSOFT,Surface Pro ,11th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,134291,2.86666666666667,13,Windows 11
LENOVO,V15 Intel Core i5 ,11th Gen,16 GB,512 GB,Grey,1.7,Intel Core i5,42990,3.8,15.6,Windows 11
ASUS,Zenbook ,13th Gen,16 GB,512 GB,Black,1.61,AMD Radeon,89990,4.2,15.28,Windows 11
LENOVO,ThinkBook 16 AMD Ryzen ,13th Gen,16 GB,512 GB,Grey,1.7,AMD Ryzen 5,46410,3.8,16,Windows 11
LENOVO,IdeaPad Slim 5 AMD ,13th Gen,16 GB,512 GB,Grey,1.58,AMD Ryzen 5,58990,3.9,13.3,Windows 11
LENOVO,Smartchoice Yoga Slim 7 ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,78990,4,14,Windows 11
LENOVO,Ideapad 3 12Th Gen ,12Th Gen,16 GB,512 GB,Grey,1.58,Intel Core I3,36515,3.3,14,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.65,Intel Core i5,97649,4.01724137931034,35.6,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.59,Intel Core i3,35800,3.7,39.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,AMD Ryzen 5,48900,4.2,15.6,Windows 11
ASUS,Vivobook Go 15 ,13th Gen,16 GB,512 GB,Black,1.61,AMD Ryzen 5,40990,3.99285714285714,15.6,Windows 11
LENOVO,V14 G3 ,12th Gen,8 GB,512 GB,Grey,1.57,Intel Core i5,45990,3.7,14,Windows 11
LENOVO,IdeaPad Slim 3 Intel ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,54600,4.1,15.6,Windows 11
ACER,Aspire ,13th Gen,6 GB,512 GB,Gray,1.99,Intel Core i7,71990,3.5,39.62,Windows 11
ACER,Aspire ,13th Gen,16 GB,512 GB,Gray,1.59,Intel Core i3,33799,3.9,15.6,Windows 11
LENOVO,Yoga Pro 9 Intel ,13th Gen,32 GB,512 GB,Grey,1.58,Intel Core i5,181990,3.1,16,Windows 11
HP,Vivobook ,13th Gen,32 GB,512 GB,Silver,1.66,Intel Core i5,56450,4.01724137931034,14,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Grey,1.57,Intel Core i3,35500,3,15.6,Windows 11
LENOVO,IdeaPad Slim 3 14th ,14th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,55990,3.4,15.3,Windows 11
SAMSUNG,Galaxy Book2 Pro Intel ,12th Gen,16 GB,512 GB,Silver,1.62,Intel Core i5,83999,3.8,33.78,Windows 11
